id;plan;planTitle;version;versionTitle;title;parent;testUnits;controls;terms;okso;speciality;profileCode;profile;level;groupID;groupTitle;allload;allaudit;self;lecture;practice;labs;contactTotal;contactSelf;contactControl;contactLecture;contactPractice;contactLabs;tl1;tl2;tl3;tl4;tl5;tl6;tl7;tl8;tl9;tl10;tl11;tl12;gosLoadInTestUnits;ttu1;ttu2;ttu3;ttu4;ttu5;ttu6;ttu7;ttu8;ttu9;ttu10;ttu11;ttu12;modulePriority;index;controls_list;planType
unpled195e3pg0000of7f4tvsi3pdeks;unplan195e3pg0000niudjlon2bml8bk;№ 8189  (очн);unplvp195e3pg0000of7f41feqj3qk18;№ 3  (очн);Дисциплины (модули);;201;;;09.03.03;Прикладная информатика;09.03.03/33.01;Прикладная информатика;Бакалавр;undigr195e3pg0000ntnb89p8vt0rg24;РИ-220936;7564;3315;4249;1054;1258;1003;2909.04;328.95;59.09;765.00;697.00;731.00;null;null;null;null;null;null;null;null;null;null;null;null;201;28;31;29;27;29;26;31;0;0;0;0;0;null;Б1;;модульный
unpled195e3pg0000of7f4vacqjbir00;unplan195e3pg0000niudjlon2bml8bk;№ 8189  (очн);unplvp195e3pg0000of7f41feqj3qk18;№ 3  (очн);Практика;;21;;;09.03.03;Прикладная информатика;09.03.03/33.01;Прикладная информатика;Бакалавр;undigr195e3pg0000ntnb89p8vt0rg24;РИ-220936;756;0;756;0;0;0;60.00;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;0;0;0;3;0;6;0;12;0;0;0;0;null;Б2;;модульный
unpled195e3pg0000of7f4vdals6kra4;unplan195e3pg0000niudjlon2bml8bk;№ 8189  (очн);unplvp195e3pg0000of7f41feqj3qk18;№ 3  (очн);Государственная итоговая аттестация;;18;;;09.03.03;Прикладная информатика;09.03.03/33.01;Прикладная информатика;Бакалавр;undigr195e3pg0000ntnb89p8vt0rg24;РИ-220936;648;0;648;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;18;0;0;0;0;0;0;0;18;0;0;0;0;null;Б3;;модульный
unpled195e3pg0000of7f4ve1qje1e74;unplan195e3pg0000niudjlon2bml8bk;№ 8189  (очн);unplvp195e3pg0000of7f41feqj3qk18;№ 3  (очн);Факультативы;;8;;;09.03.03;Прикладная информатика;09.03.03/33.01;Прикладная информатика;Бакалавр;undigr195e3pg0000ntnb89p8vt0rg24;РИ-220936;288;78;210;29;49;0;89.54;11.68;null;28.90;48.96;null;null;null;null;null;null;null;null;null;null;null;null;null;8;3;3;0;0;0;2;0;0;0;0;0;0;null;Б4;;модульный
unpled195e3pg0000of7f4usn18emtj8;unplan195e3pg0000niudjlon2bml8bk;№ 8189  (очн);unplvp195e3pg0000of7f41feqj3qk18;№ 3  (очн);Формируемая участниками образовательных отношений;unpled195e3pg0000of7f4tvsi3pdeks;48;;;09.03.03;Прикладная информатика;09.03.03/33.01;Прикладная информатика;Бакалавр;undigr195e3pg0000ntnb89p8vt0rg24;РИ-220936;1728;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;48;0;0;3;6;15;15;9;0;0;0;0;0;null;Б1.В;;модульный
unpled195e3pg0000of7f4u041n84cv8;unplan195e3pg0000niudjlon2bml8bk;№ 8189  (очн);unplvp195e3pg0000of7f41feqj3qk18;№ 3  (очн);Обязательная часть;unpled195e3pg0000of7f4tvsi3pdeks;153;;;09.03.03;Прикладная информатика;09.03.03/33.01;Прикладная информатика;Бакалавр;undigr195e3pg0000ntnb89p8vt0rg24;РИ-220936;5836;null;null;null;null;null;2909.04;328.95;59.09;765.00;697.00;731.00;null;null;null;null;null;null;null;null;null;null;null;null;153;28;31;26;21;14;11;22;0;0;0;0;0;null;Б1.Б;;модульный
unpled195e3pg0000of7f4u041n84cvc;unplan195e3pg0000niudjlon2bml8bk;№ 8189  (очн);unplvp195e3pg0000of7f41feqj3qk18;№ 3  (очн);Мировоззренческие основы профессиональной деятельности;unpled195e3pg0000of7f4u041n84cv8;6;;;09.03.03;Прикладная информатика;09.03.03/33.01;Прикладная информатика;Бакалавр;undigr195e3pg0000ntnb89p8vt0rg24;РИ-220936;216;102;114;68;34;0;117.80;15.30;0.50;68.00;34.00;null;null;null;null;null;null;null;null;null;null;null;null;null;6;3;3;0;0;0;0;0;0;0;0;0;0;1;М.1.1;;модульный
unpled195e3pg0000of7f4u1jhbctmt8;unplan195e3pg0000niudjlon2bml8bk;№ 8189  (очн);unplvp195e3pg0000of7f41feqj3qk18;№ 3  (очн);Эффективные коммуникации;unpled195e3pg0000of7f4u041n84cv8;3;;;09.03.03;Прикладная информатика;09.03.03/33.01;Прикладная информатика;Бакалавр;undigr195e3pg0000ntnb89p8vt0rg24;РИ-220936;108;51;57;17;34;0;58.90;7.65;0.25;17.00;34.00;null;null;null;null;null;null;null;null;null;null;null;null;null;3;0;0;3;0;0;0;0;0;0;0;0;0;1;М.1.2;;модульный
unpled195e3pg0000of7f4u236saofqs;unplan195e3pg0000niudjlon2bml8bk;№ 8189  (очн);unplvp195e3pg0000of7f41feqj3qk18;№ 3  (очн);Анализ данных и искусственный интеллект;unpled195e3pg0000of7f4u041n84cv8;3;;;09.03.03;Прикладная информатика;09.03.03/33.01;Прикладная информатика;Бакалавр;undigr195e3pg0000ntnb89p8vt0rg24;РИ-220936;108;51;57;17;0;34;58.90;7.65;0.25;17.00;null;34.00;null;null;null;null;null;null;null;null;null;null;null;null;3;0;0;3;0;0;0;0;0;0;0;0;0;1;М.1.3;;модульный
unpled195e3pg0000of7f4u2jeonfdoo;unplan195e3pg0000niudjlon2bml8bk;№ 8189  (очн);unplvp195e3pg0000of7f41feqj3qk18;№ 3  (очн);Введение в инженерную деятельность;unpled195e3pg0000of7f4u041n84cv8;3;;;09.03.03;Прикладная информатика;09.03.03/33.01;Прикладная информатика;Бакалавр;undigr195e3pg0000ntnb89p8vt0rg24;РИ-220936;108;51;57;17;34;0;58.90;7.65;0.25;17.00;34.00;null;null;null;null;null;null;null;null;null;null;null;null;null;3;0;3;0;0;0;0;0;0;0;0;0;0;1;М.1.4;;модульный
